Requests,SuccessfulRequests,Threads,ElapsedTime,TotalSeconds,AverageSecondsPerRequest,PagesPerHour,TotalPages,AverageSecondsPerPage
50,50,4,00:40:25,2425.250999999999,48.50501999999997,371,250,9.701003999999996
100,100,4,01:35:53,5753.675999999998,57.53675999999998,346,554,10.385696750902524
1000,994,4,14:23:47,51827.23299999993,52.14007344064379,318,4580,11.31598973799125
50,49,8,01:09:46,4186.231000000001,85.43328571428573,196,229,18.280484716157208
100,96,8,02:27:02,8822.134,91.89722916666666,180,442,19.95957918552036
1000,362,8,10:32:36,37956.94600000002,104.85344198895032,152,1605,23.649187538940822
